CustomerID,Lookalike_CustomerID,Score,Recommendation_Rank
C0001,C0086,0.9225598156258742,1
C0001,C0056,0.9112019967763654,2
C0001,C0190,0.9065010145857881,3
C0001,C0189,0.9045088639966082,4
C0001,C0174,0.891722614666771,5
C0001,C0152,0.8887580701817728,6
C0001,C0106,0.8849894276224937,7
C0001,C0118,0.8826572936231277,8
C0001,C0181,0.8753783931316305,9
C0001,C0111,0.7987107172007138,10
C0001,C0011,0.7645281289416215,11
C0001,C0088,0.7224902452691493,12
C0001,C0048,0.7178855705875641,13
C0001,C0081,0.7122546605825815,14
C0001,C0076,0.7121563202174955,15
C0001,C0098,0.7094398948317464,16
C0001,C0057,0.7053518249146136,17
C0001,C0164,0.7041218086931413,18
C0001,C0030,0.6801400679672327,19
C0001,C0146,0.6748643613398905,20
C0001,C0178,0.670687460635985,21
C0001,C0116,0.6651424887492989,22
C0001,C0169,0.6494294527613642,23
C0001,C0147,0.6444814548870753,24
C0001,C0157,0.6433906594930948,25
C0001,C0029,0.6411099075837096,26
C0001,C0195,0.6317198811092392,27
C0001,C0119,0.6146089457851285,28
C0001,C0122,0.6069631620950486,29
C0001,C0172,0.5923684645802175,30
C0001,C0017,0.5602290779205649,31
C0001,C0113,0.5369366166507015,32
C0001,C0064,0.5344008727779764,33
C0001,C0008,0.531725406201805,34
C0001,C0031,0.5294072908097167,35
C0001,C0194,0.5210829896906324,36
C0001,C0039,0.5193865437987392,37
C0001,C0183,0.5193331480595202,38
C0001,C0179,0.5019778527905919,39
C0001,C0162,0.5012684375071096,40
C0001,C0051,0.49337168075542254,41
C0001,C0107,0.4921248673545664,42
C0001,C0067,0.48101776430831933,43
C0001,C0034,0.4755395755219454,44
C0001,C0016,0.46227410393353463,45
C0001,C0055,0.45825539367262386,46
C0001,C0126,0.4538373113606028,47
C0001,C0075,0.4511419060419482,48
C0001,C0200,0.44785849415772644,49
C0001,C0084,0.44482861442776367,50
C0001,C0012,0.42881470101374114,51
C0001,C0004,0.42150050129767125,52
C0001,C0143,0.4138602281281566,53
C0001,C0041,0.41361478805974344,54
C0001,C0145,0.4123766911834197,55
C0001,C0101,0.4018596932998847,56
C0001,C0177,0.3991179696955851,57
C0001,C0024,0.380092434252898,58
C0001,C0094,0.3655785078198958,59
C0001,C0032,0.3636890965873586,60
C0001,C0175,0.35542224794460575,61
C0001,C0028,0.3448372676307121,62
C0001,C0109,0.3433311535271526,63
C0001,C0188,0.34196065239160617,64
C0001,C0154,0.3270865984478545,65
C0001,C0134,0.298886044915989,66
C0001,C0137,0.29647660497892003,67
C0001,C0021,0.28983742804916157,68
C0001,C0053,0.2894076377595582,69
C0001,C0191,0.2766396260925275,70
C0001,C0069,0.27246362317248235,71
C0001,C0166,0.2680634445987045,72
C0001,C0099,0.25874084985433127,73
C0001,C0090,0.25290237845713276,74
C0001,C0083,0.24498366948201425,75
C0001,C0139,0.23949261120709342,76
